change_24h,market_cap,name,price,volume_24h
-0.11%,$18.99 M,KardiaChain,$0.003978,$11
-0.29%,$18.94 M,ZUSD,$0.9962,$1.67 M
-0.12%,$18.82 M,OHO,$0.0007801,"$396,013"
-5.44%,$18.81 M,Bytom,$0.01146,$6.62 M
+35.55%,$19.99 M,Baby Bonk,$0.00000000005008,"$412,427"
-0.23%,$18.67 M,Neurai,$0.001891,N/A
+0.00%,$18.63 M,LIF3 LSHARE,$637.14,$1.38 M
-13.37%,$18.61 M,LinqAI,$0.1377,"$105,317"
+1.12%,$18.39 M,SPECTRE AI,$2.02,"$53,906"
-4.15%,$18.55 M,KLAYswap Protocol,$0.2785,N/A
+1.78%,$18.45 M,Dimecoin,$0.00003858,$4.29 M
+0.96%,$18.3 M,OAX,$0.2375,"$331,246"
+29.60%,$18.23 M,APWine Finance,$1.89,"$3,581"
-0.68%,$18.1 M,Defigram,$1.81,$1.03 M
-1.10%,$18.17 M,TrustSwap,$0.1817,"$153,735"
+0.13%,$18.11 M,ISKRA Token,$0.1303,"$99,545"
-0.11%,$18.06 M,Chain-key Bitcoin,"$71,361.85","$550,051"
-2.32%,$17.96 M,Dvision Network,$0.02382,"$269,804"
-0.43%,$17.95 M,bitsCrunch,$0.09884,$3.25 M
+8.90%,$17.81 M,Akita Inu,$0.0000002617,"$30,507"
-13.05%,$17.67 M,GET Protocol,$1.55,"$130,876"
+11.72%,$17.99 M,Angle,$0.08927,"$542,896"
+1.01%,$17.86 M,Quantum Resistant Ledger,$0.2629,$2.42 M
-3.76%,$17.81 M,zkSwap Finance,$0.04783,"$167,730"
+0.37%,$18.05 M,Hegic,$0.02565,$6.57 M
+2.54%,$17.63 M,Altered State Token,$0.02196,"$647,422"
+1.93%,$17.74 M,BioPassport Token,$0.003021,"$679,344"
-4.54%,$17.74 M,QORPO WORLD,$0.2888,N/A
-6.76%,$17.42 M,Bitcoin Atom,$0.9459,$2.26 M
+12.09%,$17.18 M,Mintlayer,$0.2677,"$278,043"
-0.56%,$17.52 M,CateCoin,$0.0000003972,$3.29 M
+0.32%,$17.4 M,Symbiosis Finance,$0.2835,"$332,741"
-0.62%,$17.36 M,Quiztok,$0.001908,"$6,132"
+11.01%,$17.94 M,Thought,$0.03995,"$30,609"
-6.68%,$17.28 M,DEXTF Protocol,$0.2626,"$169,336"
+2.20%,$17.18 M,Image Generation AI,$0.02212,$1.59 M
+0.42%,$17.24 M,Ambire Wallet,$0.02911,"$139,303"
+2.59%,$17.29 M,ParaSwap,$0.02321,$3.08 M
+0.05%,$17.14 M,Verified USD Foundation USDV,$0.9997,$2.18 M
-4.51%,$17.08 M,Choise.com,$0.06682,"$32,219"
+0.67%,$17.12 M,Silo Finance,$0.05383,"$203,864"
+5.71%,$17.64 M,P00LS,$0.07581,$3.31 M
-19.14%,$16.56 M,Wall Street Memes,$0.00876,$1.01 M
-3.40%,$17.12 M,Squid Grow,$0.00000001457,"$947,477"
-1.33%,$16.88 M,Starlink,$0.000001692,$2.25 M
+0.33%,$17.04 M,Dogechain,$0.0005925,$1.93 M
+3.54%,$16.94 M,DexCheck,$0.04991,"$709,538"
-4.87%,$16.96 M,OVR,$0.3325,"$10,846"
+23.77%,$15.84 M,Wrapped LUNA Classic,$0.00005765,"$34,374"
+5.10%,$16.79 M,ParagonsDAO,$0.1051,"$64,256"
-1.22%,$16.62 M,DeFi Kingdoms,$0.1454,$10.91 M
+5.35%,$16.37 M,Niza Global,$0.002891,$1.02 M
-5.12%,$16.88 M,Scallop,$0.2614,"$107,171"
+0.00%,$16.65 M,UnlimitedIP,$0.009909,$3.86 M
+3.75%,$16.49 M,Juventus Fan Token,$2.40,"$34,472"
-0.42%,$16.55 M,Tornado Cash,$3.15,"$301,016"
+1.80%,$16.52 M,Matrix AI Network,$0.03714,"$295,627"
-0.76%,$16.49 M,MILC Platform,$0.1325,"$414,173"
-2.14%,$16.47 M,UBXS Token,$0.2882,$1.21 M
+4.41%,$16.93 M,Catboy,$0.08852,"$15,755"
+0.03%,$16.41 M,UniCrypt,$352.73,N/A
+0.00%,$16.44 M,Ondori,$0.0004353,$5.34 M
-1.90%,$16.46 M,ForTube,$0.0207,"$181,615"
+4.24%,$16.4 M,Revest Finance,$0.1904,"$98,356"
-0.10%,$16.18 M,Tarot,$0.2593,"$12,617"
+2.02%,$16.4 M,Thales,$0.2995,"$167,125"
-0.90%,$16.39 M,Lumerin,$0.02702,"$10,715"
-1.00%,$16.36 M,KOMPETE,$0.0242,$1.47 M
+1.98%,$16.22 M,Nodle,$0.004424,"$60,784"
+2.92%,$16.4 M,Toucan Protocol: Base Carbon Tonne,$0.8922,"$128,310"
+2.44%,$16.19 M,Stride Staked Osmo,$1.04,"$32,357"
+17.29%,$16.26 M,Windoge98,$1.87,"$104,670"
+4.82%,$16.11 M,Newscrypto,$0.1071,"$2,176"
+1.25%,$16.13 M,Wise Token,$0.25,$2.09 M
-5.09%,$16.13 M,Carbon browser,$0.04066,"$477,679"
-6.75%,$15.96 M,Hathor,$0.06313,"$14,307"
-1.12%,$16.06 M,SpaceN,$0.4014,"$42,869"
-4.02%,$16.04 M,Step Finance,$0.07245,"$224,047"
-0.99%,$15.93 M,SuperWalk,$0.1562,"$936,451"
+0.01%,$15.83 M,XDAO,$0.6771,"$152,677"
-0.72%,$15.72 M,Saito,$0.007943,"$87,730"
+0.25%,$15.75 M,BIM,$1.13,"$74,600"
+4.11%,$15.74 M,COLONY,$0.1499,"$303,902"
-6.03%,$15.72 M,YIELD App,$0.05924,"$788,672"
-0.58%,$15.7 M,MetaTrace,$0.04388,"$985,528"
-3.37%,$15.67 M,Metahero,$0.003076,$2.68 M
+4.02%,$16.53 M,NvirWorld,$0.01571,"$559,235"
-0.57%,$15.5 M,Open Custody Protocol ,$0.0201,"$201,437"
-3.16%,$15.46 M,AMO Coin,$0.0008092,$26.6 M
+4.80%,$15.33 M,Matr1x Fire,$1.71,"$145,168"
-0.21%,$15.5 M,V2 Devour Token,$0.007369,$61.57 M
-10.43%,$15.63 M,Atletico De Madrid Fan Token,$3.30,$1.09 M
+25.25%,$15.46 M,Landshare,$3.98,"$493,070"
-0.05%,$15.44 M,OpenLeverage,$0.08184,"$622,241"
-2.28%,$15.29 M,LeisureMeta,$0.008989,"$294,250"
+19.41%,$15.48 M,Nimiq,$0.001481,"$83,974"
+0.03%,$15.31 M,Fei USD,$0.9445,"$406,808"
+4.72%,$15.65 M,KAP Games,$0.1231,"$37,894"
-1.18%,$15.29 M,Token dForce USD,$0.9854,"$38,119"
+0.75%,$15.34 M,Fulcrom Finance,$0.008817,"$423,291"
-3.59%,$15.19 M,TRVL,$0.04827,"$37,069"
-5.92%,$15.12 M,Handshake,$0.02435,"$372,243"
+0.60%,$15.24 M,Prisma mkUSD,$0.9746,$1.35 M
+0.15%,$14.91 M,TopGoal,$0.05187,$2.4 M
-2.58%,$15.1 M,MongCoin,$0.00000002597,"$415,890"
+3.77%,$14.94 M,Shiden Network,$0.2295,"$62,370"
-1.13%,$14.96 M,Splintershards,$0.01126,"$64,004"
-0.01%,$15.01 M,Peercoin,$0.5191,"$73,732"
+0.19%,$15 M,Diamond Launch,$0.1559,$1.34 M
+0.88%,$14.95 M,StorX Network,$0.04377,N/A
+0.00%,$14.74 M,The Transfer Token,$0.1221,"$96,166"
-1.70%,$14.52 M,Wrapped Astar,$0.0979,"$898,966"
-0.34%,$14.7 M,ABBC Coin,$0.012,"$448,974"
+2.03%,$14.63 M,Atlas Navi,$0.2814,"$3,488"
-1.11%,$14.65 M,Sonic The Goat,$0.00001653,"$244,840"
-1.06%,$14.54 M,Globiance Exchange Token,$0.00000003949,$1.21 M
"+17,995.94%",$14.58 M,Poolz Finance,$2.93,"$763,441"
-1.38%,$14.58 M,Arix,$1.47,"$678,952"
+14.64%,$14.39 M,Bubblefong,$0.07717,"$509,933"
-9.97%,$14.53 M,BlackFort Exchange Network,$0.003237,"$636,027"
-1.36%,$14.4 M,Aeternity,$0.03797,$4.18 M
-9.77%,$14.53 M,Bad Idea AI,$0.0000000274,$227
-2.57%,$14.43 M,EthicHub,$0.2047,"$141,990"
-4.12%,$14.37 M,Onomy Protocol,$0.1445,$6.17 M
+3.67%,$15.52 M,EFFORCE,$0.02943,"$723,190"
+5.27%,$13.97 M,Gamer Arena,$0.05011,"$287,257"
+13.78%,$14.1 M,GameSwift,$0.2252,"$365,563"
+0.04%,$14.25 M,BIDR,$0.00006312,$3.67 M
+0.79%,$14.22 M,AC Milan Fan Token,$2.29,$1.83 M
-4.42%,$14.21 M,POOH,$0.00000003377,"$527,121"
-0.45%,$14.22 M,Ferrum Network,$0.05366,"$614,358"
+3.54%,$14.29 M,Wrapped Kaspa,$0.1836,"$221,258"
-3.79%,$14.08 M,Wrapped Core,$1.95,"$979,487"
+3.72%,$14.06 M,Chickencoin,$0.0000002188,"$179,689"
+0.56%,$14.01 M,Deeper Network,$0.005461,"$176,037"
-1.68%,$14.09 M,Jesus Coin,$0.00000009303,$2.77 M
-0.41%,$13.87 M,Ellipsis,$0.000189,$7.21 M
-3.75%,$13.79 M,Juice Finance,$0.0803,$6.81 M
+11.85%,$13.81 M,beoble,$0.06923,"$101,926"
-1.78%,$13.98 M,WeBuy,$0.03861,"$162,003"
-5.59%,$13.59 M,Bifrost (BNC),$0.3557,"$47,319"
+4.75%,$13.75 M,r/FortNiteBR Bricks,$0.1236,$1.25 M
-10.89%,$13.85 M,CumRocket,$0.01049,"$158,124"
-1.03%,$13.64 M,JUNO,$0.1715,"$730,300"
-1.53%,$13.46 M,Kimbo,$0.0001939,"$18,973"
-2.44%,$13.48 M,StakeWise,$0.03131,"$50,671"
-0.67%,$13.44 M,Pip,$0.08279,"$6,402"
-0.26%,$13.43 M,DeversiFi,$0.556,"$585,391"
+18.75%,$13.4 M,Cosplay Token,$0.03399,"$11,123"
+6.15%,$13.42 M,LORDS,$0.1049,$1.55 M
+0.68%,$13.43 M,Galatasaray Fan Token,$2.16,"$892,856"
+6.26%,$13.36 M,Asterix Labs,"$1,336.20","$51,290"
+1.21%,$13.27 M,Convex CRV,$0.4182,"$118,323"
+4.55%,$13.33 M,Kira Network,$0.06486,"$31,075"
-1.08%,$13.27 M,GYEN,$0.006324,"$576,784"
-7.53%,$13.11 M,Crypto Gladiator Shards,$0.005925,$8.48 M
-3.41%,$13.25 M,Cross The Ages,$0.2065,$9.9 M
+0.04%,$13.29 M,Realio Network,$2.02,"$707,348"
-1.63%,$13.02 M,Xend Finance,$0.1216,"$70,685"
-6.18%,$12.98 M,Robonomics.network,$7.78,"$183,862"
-1.77%,$13.01 M,Bag,$0.003786,"$377,521"
+2.30%,$13.16 M,Crypto Unicorns,$0.3167,N/A
+0.00%,$13.13 M,Spiking,$0.02966,"$58,303"
+1.77%,$13.08 M,TypeAI,$1.38,"$734,402"
-6.98%,$13.11 M,MangoMan Intelligent,$0.00000003631,N/A
+0.00%,$13.04 M,Katalyo,$0.9992,"$273,536"
+2.71%,$13.07 M,Wrapped Moonriver,$143.81,$3.11 M
+0.55%,$12.88 M,PowerPool,$0.4153,"$61,998"
-5.68%,$12.78 M,Aryacoin,$0.01067,"$587,696"
-0.72%,$12.79 M,Volumint,$0.02317,"$175,801"
+15.09%,$11.67 M,KiboShib,$0.00001167,$2.52 M
+4.33%,$12.78 M,Prosper,$0.3921,N/A
+0.00%,$12.77 M,Fountain,$0.144,"$168,308"
+4.22%,$13.03 M,Pikamoon,$0.0007467,"$394,438"
-3.13%,$12.74 M,Abelian,$0.175,"$398,630"
+0.27%,$12.68 M,EPIK Prime,$0.01142,"$224,726"
-4.39%,$12.72 M,Dejitaru Tsuka,$0.01272,"$33,405"
-5.89%,$12.61 M,Bitcoin Diamond,$0.06761,"$7,959"
+0.32%,$12.64 M,Feisty Doge NFT,$0.0002256,"$454,692"
-7.21%,$12.53 M,Octopus Network,$0.1591,"$550,363"
-0.31%,$12.64 M,Kasta,$0.02063,"$71,486"
-66.72%,$12.28 M,TON Token,$0.04582,$2.42 M
+0.02%,$12.52 M,UniBot,$12.52,"$701,733"
-0.13%,$12.52 M,Origin Dollar Governance,$0.01456,"$529,241"
-0.34%,$12.24 M,Metacade,$0.009196,"$157,584"
-0.85%,$12.53 M,SOLVE,$0.01789,"$68,784"
-2.52%,$12.48 M,Karura,$0.114,$3.13 M
+16.35%,$12.52 M,Koala AI,$0.000001375,"$389,586"
+11.09%,$12.49 M,Saitama V2,$0.0002842,"$359,393"
+2.62%,$12.47 M,Cult DAO,$0.000002886,N/A
+0.00%,$12.44 M,Alpha Coin,$0.0025,"$54,131"
+3.03%,$12.54 M,Astrafer,$0.08015,"$493,668"
+1.30%,$12.56 M,Nestree,$0.00434,"$106,374"
-1.54%,$12.36 M,KILT Protocol,$0.2501,"$395,139"
+10.02%,$12.38 M,Shina Inu,$0.000001013,"$187,735"
-9.86%,$11.69 M,Electra Protocol,$0.0006497,N/A
+0.00%,$12.29 M,Unicly CryptoPunks Collection,$0.04915,"$38,109"
+0.44%,$12.19 M,GameZone,$0.0145,"$125,347"
-6.62%,$12.19 M,zKML,$0.1321,$3.94 M
+5.33%,$12.35 M,Arsenal Fan Token,$1.27,"$65,044"
-2.21%,$11.93 M,Observer,$0.001985,"$26,036"
-0.75%,$12.1 M,FNCY,$0.01187,"$86,607"
-0.96%,$12.06 M,Radiant,$0.00111,N/A
+0.00%,$12.01 M,Carry,$0.001201,$2.07 M
+1.34%,$11.94 M,Wrapped Elrond,$39.81,"$730,107"
+0.49%,$11.94 M,Augur,$1.09,"$111,362"
-2.93%,$11.91 M,Everest,$0.1021,"$50,415"
-2.43%,$11.9 M,Lunr Token,$0.07936,"$76,449"
+1.78%,$11.97 M,RMRK,$1.32,$1
+0.09%,$11.81 M,YUSD Coin,$0.9937,"$473,861"
+38.13%,$11.49 M,Findora,$0.001007,"$704,906"
-1.18%,$11.56 M,Real Smurf Cat (ETH),$0.0001233,"$464,426"
-8.72%,$11.82 M,Inspect,$0.07345,"$357,290"
-3.96%,$11.64 M,Prime Numbers,$2.87,N/A
+0.00%,$11.66 M,Steam Exchange,$0.0001166,"$3,919"
+0.19%,$11.65 M,Premia,$0.2986,$2.98 M
-9.28%,$11.53 M,Amulet,$0.03257,"$331,192"
-2.74%,$11.7 M,Edge Matrix Computing,$0.3899,"$483,129"
-0.22%,$11.63 M,Rupiah Token,$0.00006122,"$362,685"
+0.03%,$11.48 M,AIPAD,$0.1,"$276,957"
-4.10%,$11.54 M,HAPI,$15.76,"$289,800"
-1.26%,$11.49 M,MEVerse,$0.006693,"$191,197"
-0.24%,$11.63 M,Hydra,$0.5827,"$329,106"
+0.05%,$11.53 M,Big Data Protocol,$0.2206,"$20,899"
+0.92%,$11.53 M,Seedify NFT Space,$0.002457,"$13,946"
+0.78%,$11.52 M,Somnium Space Cubes,$0.9215,"$284,426"
+1.11%,$11.55 M,Stride Staked Atom,$11.70,N/A
+0.00%,$11.51 M,Kyber Network Crystal Legacy,$0.5356,$1.29 M
+1.40%,$11.45 M,UpOnly,$0.1007,$12.61 M
+41.01%,$11.97 M,TEMCO,$0.003012,"$18,856"
+2.19%,$11.39 M,Diamond,$2.98,$1.47 M
+5.99%,$12.4 M,Insane Labz,$0.2531,$1.02 M
-7.15%,$11.39 M,Push Protocol,$0.1887,"$124,658"
+0.00%,$11.35 M,Galaxy Heroes Coin,$0.00000001135,$1.02 M
-0.02%,$11.32 M,Carrieverse,$0.05453,"$23,351"
+7.36%,$11.33 M,Gameswap,$0.9523,"$40,217"
-0.58%,$11.32 M,Hera Finance,$2.76,"$75,550"
-3.34%,$11.26 M,Fusion,$0.1472,"$132,816"
-3.19%,$11.21 M,Phantasma,$0.09027,"$797,153"
+2.88%,$11.21 M,Fuse Network,$0.05096,$1.01 M
-7.35%,$11.38 M,Portugal National Team Fan Token,$3.09,"$29,352"
+0.74%,$11.1 M,LATOKEN,$0.0292,N/A
-2.31%,$10.97 M,Venus LINK,$0.3549,$7.64 M
-2.05%,$10.95 M,Ooki Protocol,$0.002402,"$482,136"
+1.18%,$11.03 M,FANC,$0.01647,$73
-3.85%,$10.92 M,Vesta Finance,$0.4867,"$16,262"
+7.16%,$13.46 M,Castello Coin,$0.06341,"$10,744"
-3.25%,$10.89 M,Block Ape Scissors,$0.1089,$1.06 M
+4.10%,$10.87 M,LandX Finance,$1.48,N/A
+0.71%,$10.85 M,PIBBLE,$0.0004954,"$749,148"
+1.05%,$10.65 M,Areon Network,$0.08765,"$129,339"
-1.62%,$10.79 M,Ref Finance,$0.3214,$2.11 M
-2.91%,$10.82 M,BlockGames,$0.1297,$2.12 M
+4.16%,$10.78 M,Crust Network,$0.7624,$1.04 M
-0.67%,$10.78 M,REVV,$0.009055,"$219,191"
-6.44%,$10.73 M,MonkeyLeague,$0.01716,"$580,843"
+1.51%,$10.76 M,Comtech Gold,$76.31,"$646,955"
+3.27%,$10.69 M,Zynecoin,$0.2551,"$200,378"
-1.75%,$10.69 M,Winnerz,$0.05005,$13.48 M
+6.55%,$10.56 M,NAVX Token,$0.1428,"$758,432"
-1.63%,$10.5 M,Doge Eat Doge,$0.00000003386,$11.76 M
+18.78%,$10.34 M,GT Protocol,$1.34,"$242,331"
-3.22%,$10.45 M,Aura Network,$0.03246,$2.03 M
+1.78%,$10.45 M,RAI Finance,$0.024,N/A
+0.00%,$10.3 M,Bitgear,$0.1872,$3.71 M
+0.80%,$10.28 M,Sakai Vault,$4.94,"$269,536"
+10.11%,$10.58 M,Soil,$1.39,"$14,915"
+16.33%,$10.2 M,DeFinity,$0.06666,"$63,816"
-0.90%,$10.24 M,Multichain,$0.7042,$1.6 M
+14.36%,$10.74 M,Exverse,$0.1346,N/A
+0.00%,$10.13 M,Bithao,$0.1871,$2.55 M
-2.16%,$10.14 M,Blockchain Brawlers,$0.01014,"$46,246"
-5.68%,$10.11 M,Reboot,$0.06231,"$701,980"
-1.11%,$10.08 M,Energi,$0.1302,$108
-6.10%,$10.04 M,RigoBlock,$3.72,"$367,840"
+1.70%,$10.06 M,apM Coin,$0.006723,"$468,178"
-2.47%,$10.03 M,Tokemak,$0.6145,$2.15 M
-4.89%,$9.91 M,ROA CORE,$0.03385,$1.12 M
+1.18%,$10 M,Project WITH,$0.009813,"$487,002"
+1.50%,$9.99 M,Lambda,$0.00607,"$233,381"
-0.32%,$9.99 M,Buying.com,$0.03012,$214
-0.90%,$10 M,HUSD,$0.04491,$2.17 M
-0.01%,$9.93 M,Inter Milan Fan Token,$1.94,"$470,812"
+2.00%,$9.87 M,PLAYA3ULL GAMES,$0.00209,N/A
-0.13%,$9.92 M,Linker Coin,$0.08792,$1.04 M
-3.15%,$9.86 M,Tottenham Hotspur Fan Token,$2.62,"$241,645"
+12.65%,$9.95 M,Cheems,$0.003903,$2.94 M
+6.63%,$9.8 M,LABEL Foundation,$0.005119,"$275,863"
-5.37%,$10.04 M,SPX6900,$0.01078,"$6,484"
-14.37%,$9.2 M,Obyte,$10.68,$2.6 M
-14.12%,$9.47 M,Hoppy,$0.0000225,"$328,875"
+3.79%,$9.77 M,Magic Square,$0.2533,$1.97 M
-0.10%,$9.67 M,Gari Network,$0.02325,"$572,157"
-10.28%,$9.92 M,PYRIN,$0.03515,"$261,242"
-1.10%,$9.7 M,BEFE,$0.0001041,N/A
+4.54%,$9.64 M,Efinity Token,$0.1109,"$225,206"
-4.93%,$9.72 M,Joystream,$0.01051,"$8,753"
-0.08%,$9.63 M,Oxbull.tech,$1.28,"$177,319"
-4.80%,$9.54 M,Sabai Protocol,$0.04181,"$33,651"
-3.79%,$9.74 M,Neoxa,$0.00184,N/A
-0.09%,$9.52 M,PumaPay,$0.0003595,N/A
+0.28%,$9.52 M,XBIT,$0.01103,"$390,995"
+8.40%,$9.5 M,BOLT,$0.009924,$1.74 M
+0.75%,$9.52 M,BRN Metaverse,$0.404,"$141,104"
-10.67%,$9.51 M,Witnet,$0.007136,"$411,667"
+22.88%,$9.23 M,Byte,$0.000009565,"$109,966"
+1.56%,$9.45 M,Ta-da,$0.09118,"$3,672"
-0.86%,$9.45 M,VIP Token,$0.00000001941,"$356,340"
+2.55%,$9.39 M,BitKan,$0.0009801,"$24,755"
+2.24%,$9.41 M,Banano,$0.005972,"$21,591"
+6.24%,$9.36 M,Moonwell,$0.01721,"$350,029"
-3.24%,$9.34 M,Nexa,$0.000004149,"$143,646"
-0.41%,$9.44 M,Validity,$1.85,"$148,703"
-1.02%,$9.31 M,MMPRO Token,$0.1011,"$143,627"
-1.05%,$9.2 M,Umee,$0.00231,"$255,875"
-4.61%,$9.24 M,Paribus,$0.001282,$1.05 M
-4.51%,$9.26 M,Medieval Empires,$0.01656,$1.14 M
-1.27%,$9.14 M,DigitalBits,$0.0005317,"$55,419"
-3.01%,$9.43 M,Zambesigold,$0.225,N/A
-0.07%,$9.12 M,BitForex Token,$0.002127,$1.08 M
+2.21%,$9.06 M,Serum,$0.03442,"$60,585"
+8.09%,$9.04 M,Genopets,$0.1863,"$736,486"
-1.01%,$9.04 M,Islamic Coin,$0.04466,$1.05 M
+7.28%,$9.06 M,Lithium,$0.001728,"$140,985"
+8.80%,$9.14 M,Octokn,$0.03015,N/A
-0.09%,$9.03 M,ColossusXT,$0.0007091,"$269,010"
-1.31%,$8.99 M,Torum,$0.0463,"$545,906"
-8.48%,$9.15 M,Decimated,$0.02101,"$372,663"
+5.52%,$8.98 M,Defactor,$0.07871,"$48,473"
-0.32%,$8.95 M,ZEON,$0.0002932,N/A
+0.00%,$8.95 M,Advanced Technology Coin,$0.3001,$1.2 M
-3.49%,$8.79 M,King of Legends,$0.03011,"$9,733"
-0.73%,$8.92 M,Good Person Coin,$0.001589,$2.16 M
+0.52%,$8.95 M,ZKSwap,$0.04533,"$41,052"
-1.62%,$8.9 M,MarsDAO,$0.126,"$98,385"
+2.70%,$8.89 M,Law Blocks,$0.1185,$2.21 M
-0.74%,$8.89 M,Pomerium,$0.1178,N/A
+0.00%,$8.88 M,Cypherium,$0.01643,N/A
+17.18%,$8.84 M,Dip,$0.001262,"$59,362"
+0.70%,$8.8 M,Valor Token,$0.175,$1.67 M
-5.92%,$8.7 M,TomTomCoin,$0.003162,"$158,882"
+0.40%,$8.72 M,BitShares,$0.00291,$1.52 M
+9.02%,$8.77 M,Thrupenny,$0.1001,"$162,290"
-0.97%,$8.64 M,Izumi Finance,$0.01097,$310
-0.52%,$10.32 M,Decentral Games,$0.0314,"$283,242"
-0.01%,$8.6 M,Wrapped Near,$7.54,"$130,389"
-8.23%,$8.56 M,SpaceFalcon,$0.0004914,N/A
-0.15%,$8.57 M,TOKPIE,$0.2984,N/A
+0.00%,$8.54 M,sBTC,"$28,824.22","$47,507"
+3.98%,$8.42 M,Wrapped XDC,$0.03803,N/A
-1.22%,$8.66 M,Afreum,$0.001532,$4.48 M
+10.04%,$9.07 M,Andy on SOL,$0.00959,"$554,946"
+6.58%,$8.74 M,Prometheum Prodigy,$0.01705,"$39,453"
-4.80%,$8.48 M,DeFi Land,$0.001188,"$30,652"
-1.48%,$8.45 M,Carbon Protocol,$0.005328,"$194,302"
-0.00%,$8.41 M,UXD Stablecoin,$1.00,"$358,663"
+0.05%,$8.38 M,Azit,$0.04356,$1.7 M
+1.24%,$8.38 M,Bitcicoin,$0.001087,$391
-0.08%,$8.31 M,Santiment Network Token,$0.1297,N/A
+0.00%,$8.17 M,Grid+,$0.2082,"$187,045"
-3.98%,$8.15 M,Vulcan Forged LAVA,$0.03315,"$240,418"
-0.11%,$8.15 M,Era Swap,$0.003455,"$329,266"
+3.04%,$8.13 M,Gamium,$0.0003909,"$14,869"
+19.64%,$7.99 M,Oxen,$0.1172,"$31,187"
-0.47%,$8.13 M,Kunci Coin,$0.006598,"$224,286"
+5.48%,$8.3 M,Divi,$0.002129,"$10,445"
+5.51%,$8.1 M,Altair,$0.02054,"$65,113"
+0.09%,$8.08 M,Origin Dollar,$0.9963,"$83,181"
+2.16%,$8.08 M,Spool DAO,$0.2036,$2.85 M
+0.99%,$8.18 M,Lovely Inu,$0.0000001173,"$13,950"
-0.82%,$8.06 M,ArkiTech,$0.1313,"$31,862"
+1.60%,$8.03 M,SENATE,$0.07316,"$228,056"
+1.12%,$8.12 M,Mancium,$0.8124,$1.73 M
+11.82%,$7.98 M,SwissCheese,$0.4391,"$2,945"
-2.54%,$7.92 M,Gamma,$0.1217,N/A
+0.00%,$7.97 M,Global Coin Research,$1.99,"$17,846"
-2.73%,$7.96 M,Hoge Finance,$0.00002024,N/A
+0.00%,$7.94 M,Nexus,$0.1024,"$331,051"
-4.34%,$7.73 M,Everyworld,$0.0112,"$23,226"
+1.16%,$7.91 M,Asia Coin,$0.1582,"$424,788"
-0.12%,$7.9 M,DappRadar,$0.008233,"$434,640"
-2.30%,$7.91 M,BEPRO Network,$0.0007909,"$9,636"
+1.99%,$7.92 M,D-Drops,$0.04521,"$81,845"
-4.83%,$7.92 M,MASQ,$0.2305,"$248,152"
-0.70%,$7.85 M,Konnect,$0.003542,$1.5 M
+0.42%,$7.93 M,KlayCity,$0.03326,"$568,693"
-2.60%,$7.88 M,PlayZap,$0.1384,"$129,387"
+1.79%,$7.86 M,Crypto.com Staked ETH,"$3,932.41","$634,260"
+0.15%,$7.87 M,Everdome,$0.000414,"$367,285"
+1.34%,$7.85 M,Vixco,$0.01161,"$646,272"
-4.86%,$7.81 M,UPCX,$1.86,"$1,126"
+0.49%,$7.86 M,ZMINE,$0.01295,"$407,628"
-5.31%,$7.78 M,Bitrock,$0.08462,"$360,076"
-0.77%,$7.82 M,Pluton,$4.22,"$85,181"
-6.77%,$7.83 M,Swash,$0.00802,"$48,699"
-2.00%,$7.8 M,QUINT,$0.04216,"$7,047"
+0.00%,$7.73 M,ChangeNOW Token,$0.09121,"$552,978"
-4.94%,$7.73 M,OpenOcean,$0.01532,"$2,211"
+2.78%,$7.84 M,ScPrime,$0.1631,"$537,050"
+0.55%,$7.67 M,UnMarshal,$0.1497,$1.32 M
-11.21%,$7.67 M,ritestream,$0.02626,"$745,995"
+4.24%,$7.71 M,Hubble Protocol,$0.1139,$3.61 M
-3.98%,$7.7 M,BOSAGORA,$0.02473,"$1,706"
-3.69%,$7.34 M,Pikachu,$0.00000001745,"$64,577"
-3.47%,$7.67 M,KARASOU,$19.08,"$301,819"
-3.02%,$7.63 M,BSCPAD,$0.09629,"$455,182"
+1.58%,$7.63 M,Permission Coin,$0.000472,"$23,278"
+3.65%,$7.59 M,Receive Access Ecosystem,$1.08,"$3,675"
+6.98%,$7.33 M,EverRise,$0.0001147,$1.59 M
+5.98%,$7.58 M,Hillstone Finance,$0.2526,$1.01 M
-7.74%,$7.55 M,Lynex,$0.2589,"$89,129"
+0.10%,$7.55 M,King DAG,$0.1387,"$396,246"
+0.47%,$7.57 M,Trabzonspor Fan Token,$1.02,"$325,302"
+13.25%,$7.52 M,MahaDAO,$1.71,"$72,764"
+3.64%,$7.5 M,Itheum,$0.00822,"$24,103"
-2.86%,$7.47 M,BABB,$0.0001003,"$186,735"
-0.34%,$7.45 M,STAT,$0.1659,"$633,284"
+12.15%,$7.62 M,TABOO TOKEN,$0.0007784,"$60,330"
-12.37%,$7.53 M,Moby,$0.198,"$16,071"
-2.75%,$7.44 M,PaintSwap,$0.01996,N/A
+0.00%,$7.41 M,Unisocks,"$24,773.64","$12,722"
+3.60%,$7.39 M,Ferro,$0.007924,"$337,835"
+3.33%,$7.44 M,MagicCraft,$0.001705,"$15,994"
+0.46%,$7.42 M,VNX Swiss Franc,$1.12,"$257,733"
-1.86%,$7.33 M,Colawork,$0.06417,"$393,897"
-0.30%,$7.34 M,Lossless,$0.1321,"$450,655"
-1.14%,$7.35 M,Ispolink,$0.002666,$2.23 M
